Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017]
CO2 emissions (kt),EN.ATM.CO2E.KT,Hungary,HUN,69647.331,55826.408,54843.652,48510.743,50223.232,47843.349,44583.386,42141.164,42086.159,,,
CO2 emissions (kt),EN.ATM.CO2E.KT,Iceland,ISL,1998.515,2163.53,2119.526,2053.52,1961.845,1881.171,1800.497,1899.506,1983.847,,,
CO2 emissions (kt),EN.ATM.CO2E.KT,India,IND,619154.615,1031853.463,1568379.567,1738645.711,1719690.988,1841776.419,2018503.817,2034752.294,2238377.137,,,
CO2 emissions (kt),EN.ATM.CO2E.KT,Indonesia,IDN,149565.929,263418.945,416560.199,446409.579,428760.308,603665.207,637078.911,490226.562,464176.194,,,
CO2 emissions (kt),EN.ATM.CO2E.KT,"Iran, Islamic Rep.",IRN,210463.798,372237.17,541582.897,554278.051,573031.089,589055.879,611758.276,619778.005,649480.705,,,
CO2 emissions (kt),EN.ATM.CO2E.KT,Iraq,IRQ,47693.002,72445.252,93149.134,104546.17,112195.532,134384.549,152723.216,165506.378,168443.645,,,
CO2 emissions (kt),EN.ATM.CO2E.KT,Ireland,IRL,31217.171,41228.081,42999.242,40314.998,40054.641,35632.239,35591.902,34854.835,34066.43,,,
CO2 emissions (kt),EN.ATM.CO2E.KT,Isle of Man,IMN,,,,,,,,,,,,
CO2 emissions (kt),EN.ATM.CO2E.KT,Israel,ISR,36295.966,60259.811,68264.872,64469.527,68880.928,69130.284,75529.199,67069.43,64601.539,,,
CO2 emissions (kt),EN.ATM.CO2E.KT,Italy,ITA,417550.289,450564.29,447186.983,401591.505,405361.181,397994.178,369468.585,345317.723,320411.459,,,
CO2 emissions (kt),EN.ATM.CO2E.KT,Jamaica,JAM,7532.018,10307.937,10208.928,7741.037,7297.33,7858.381,7462.345,8093.069,7422.008,,,
CO2 emissions (kt),EN.ATM.CO2E.KT,Japan,JPN,1096179.977,1220527.947,1210135.669,1103869.676,1171624.835,1191074.603,1230168.49,1246515.976,1214048.358,,,
CO2 emissions (kt),EN.ATM.CO2E.KT,Jordan,JOR,10403.279,15507.743,21349.274,21891.99,21180.592,21668.303,24444.222,24389.217,26450.071,,,
CO2 emissions (kt),EN.ATM.CO2E.KT,Kazakhstan,KAZ,,118099.402,232806.829,213338.726,248549.26,259058.882,242971.753,262846.893,248314.572,,,
CO2 emissions (kt),EN.ATM.CO2E.KT,Kenya,KEN,5823.196,10417.947,10241.931,12350.456,12174.44,13457.89,12515.471,13333.212,14286.632,,,
CO2 emissions (kt),EN.ATM.CO2E.KT,Kiribati,KIR,22.002,29.336,55.005,40.337,62.339,62.339,62.339,62.339,62.339,,,
CO2 emissions (kt),EN.ATM.CO2E.KT,"Korea, Dem. People’s Rep.",PRK,,69661.999,71132.466,70677.758,66453.374,48034.033,49057.126,36009.94,40527.684,,,
CO2 emissions (kt),EN.ATM.CO2E.KT,"Korea, Rep.",KOR,246943.114,447561.017,507589.807,508862.256,566716.515,589400.577,583966.083,592499.192,587156.373,,,
CO2 emissions (kt),EN.ATM.CO2E.KT,Kosovo,XKX,,,,,,,,,,,,
CO2 emissions (kt),EN.ATM.CO2E.KT,Kuwait,KWT,51000.636,53560.202,82731.187,87303.936,89625.147,91029.608,102334.969,98345.273,95408.006,,,
CO2 emissions (kt),EN.ATM.CO2E.KT,Kyrgyz Republic,KGZ,,4635.088,7660.363,6791.284,6384.247,7656.696,10131.921,9842.228,9607.54,,,
CO2 emissions (kt),EN.ATM.CO2E.KT,Lao PDR,LAO,212.686,938.752,946.086,1257.781,1639.149,1624.481,1697.821,1576.81,1954.511,,,
CO2 emissions (kt),EN.ATM.CO2E.KT,Latvia,LVA,,6351.244,7902.385,7231.324,8074.734,7293.663,7062.642,7080.977,6974.634,,,
CO2 emissions (kt),EN.ATM.CO2E.KT,Lebanon,LBN,8214.08,15247.386,17227.566,20872.564,20047.489,20443.525,22632.724,22581.386,24070.188,,,
CO2 emissions (kt),EN.ATM.CO2E.KT,Lesotho,LSO,1474.134,1851.835,2126.86,2218.535,2277.207,2332.212,2405.552,2434.888,2467.891,,,
CO2 emissions (kt),EN.ATM.CO2E.KT,Liberia,LBR,473.043,421.705,564.718,517.047,792.072,891.081,1026.76,957.087,935.085,,,
CO2 emissions (kt),EN.ATM.CO2E.KT,Libya,LBY,36780.01,47113.616,56013.425,57978.937,61961.299,39702.609,52683.789,56266.448,56996.181,,,
CO2 emissions (kt),EN.ATM.CO2E.KT,Liechtenstein,LIE,,,62.339,51.338,55.005,47.671,47.671,51.338,44.004,,,
CO2 emissions (kt),EN.ATM.CO2E.KT,Lithuania,LTU,,12163.439,15009.031,12519.138,13468.891,13787.92,13831.924,12640.149,12838.167,,,
CO2 emissions (kt),EN.ATM.CO2E.KT,Luxembourg,LUX,10003.576,8239.749,10938.661,10392.278,10967.997,10938.661,10663.636,10051.247,9658.878,,,
CO2 emissions (kt),EN.ATM.CO2E.KT,"Macao SAR, China",MAC,1034.094,1631.815,1338.455,2071.855,1408.128,1448.465,1312.786,1180.774,1283.45,,,
CO2 emissions (kt),EN.ATM.CO2E.KT,"Macedonia, FYR",MKD,,12064.43,9402.188,8698.124,8602.782,9398.521,8965.815,7847.38,7510.016,,,
CO2 emissions (kt),EN.ATM.CO2E.KT,Madagascar,MDG,949.753,1873.837,1888.505,1771.161,1958.178,2339.546,2706.246,3116.95,3076.613,,,
CO2 emissions (kt),EN.ATM.CO2E.KT,Malawi,MWI,748.068,869.079,1056.096,946.086,1144.104,1180.774,1096.433,1224.778,1276.116,,,
CO2 emissions (kt),EN.ATM.CO2E.KT,Malaysia,MYS,56592.811,125734.096,204031.88,198876.078,218476.193,220405.035,218707.214,236510.499,242821.406,,,
CO2 emissions (kt),EN.ATM.CO2E.KT,Maldives,MDV,172.349,451.041,843.41,883.747,935.085,986.423,1111.101,1092.766,1334.788,,,
CO2 emissions (kt),EN.ATM.CO2E.KT,Mali,MLI,421.705,821.408,1070.764,806.74,964.421,1045.095,993.757,1026.76,1411.795,,,
CO2 emissions (kt),EN.ATM.CO2E.KT,Malta,MLT,2159.863,2064.521,2559.566,2398.218,2559.566,2541.231,2680.577,2339.546,2346.88,,,
CO2 emissions (kt),EN.ATM.CO2E.KT,Marshall Islands,MHL,47.671,77.007,99.009,102.676,102.676,102.676,102.676,102.676,102.676,,,
CO2 emissions (kt),EN.ATM.CO2E.KT,Mauritania,MRT,905.749,1173.44,1936.176,2123.193,2236.87,2394.551,2654.908,2669.576,2709.913,,,
CO2 emissions (kt),EN.ATM.CO2E.KT,Mauritius,MUS,1463.133,2691.578,3769.676,3711.004,3916.356,3920.023,3967.694,4070.37,4228.051,,,
CO2 emissions (kt),EN.ATM.CO2E.KT,Mexico,MEX,318427.612,398382.88,493251.837,475950.931,464308.206,484429.035,496324.783,490340.239,480270.657,,,
CO2 emissions (kt),EN.ATM.CO2E.KT,"Micronesia, Fed. Sts.",FSM,,124.678,117.344,161.348,113.677,121.011,135.679,143.013,150.347,,,
