Country Name;Country Code;Indicator Name;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017
Aruba;ABW;PM2.5 air pollution, mean annual exposure (micrograms per cubic meter);;;;;;;;;;;;;;;;;;
Afghanistan;AFG;PM2.5 air pollution, mean annual exposure (micrograms per cubic meter);56,05448305;;;;;43,21094707;;;;;46,56779545;50,40091241;50,56149778;50,93477732;49,02676109;48,01676483;;
Angola;AGO;PM2.5 air pollution, mean annual exposure (micrograms per cubic meter);39,64056265;;;;;35,29216767;;;;;30,84495901;31,59438405;33,62948538;33,70874667;35,12951271;36,39542768;;
Albania;ALB;PM2.5 air pollution, mean annual exposure (micrograms per cubic meter);14,29310003;;;;;12,17598326;;;;;15,32580588;14,67280319;14,511993;15,64245935;16,69960729;17,93662454;;
Andorra;AND;PM2.5 air pollution, mean annual exposure (micrograms per cubic meter);10,81286722;;;;;10,92749845;;;;;10,88411327;10,92136743;10,91712823;10,70556757;10,38933824;10,05993572;;
Arab World;ARB;PM2.5 air pollution, mean annual exposure (micrograms per cubic meter);52,87521793;;;;;52,79730469;;;;;63,82590195;63,191705;63,83611294;63,40492621;62,97798039;63,13124048;;
United Arab Emirates;ARE;PM2.5 air pollution, mean annual exposure (micrograms per cubic meter);75,56362831;;;;;67,24063338;;;;;74,11933045;73,16350199;74,99061583;70,85059428;67,17545852;64,29012818;;
Argentina;ARG;PM2.5 air pollution, mean annual exposure (micrograms per cubic meter);15,66941992;;;;;14,91562346;;;;;14,27254307;14,12314793;14,15148439;13,62121025;13,67861608;13,44396548;;
Armenia;ARM;PM2.5 air pollution, mean annual exposure (micrograms per cubic meter);18,54667114;;;;;20,96387232;;;;;25,90381947;25,74679593;24,28148614;24,79903114;25,08644703;25,50768535;;
American Samoa;ASM;PM2.5 air pollution, mean annual exposure (micrograms per cubic meter);4,322886886;;;;;4,339080007;;;;;3,410088967;3,30293518;3,379987778;3,448989662;3,638034547;3,732035944;;
Antigua and Barbuda;ATG;PM2.5 air pollution, mean annual exposure (micrograms per cubic meter);17,32235273;;;;;16,38137962;;;;;13,26361122;13,54079028;13,63414658;13,93344458;14,05720483;13,88760103;;
Australia;AUS;PM2.5 air pollution, mean annual exposure (micrograms per cubic meter);6,803757356;;;;;6,607162641;;;;;5,930373586;5,884769656;5,977630261;6,029646627;5,932051308;5,897734951;;
Austria;AUT;PM2.5 air pollution, mean annual exposure (micrograms per cubic meter);15,24514611;;;;;15,29663318;;;;;15,12092092;14,94375206;15,24677384;15,91639969;16,45924852;17,01299421;;
Azerbaijan;AZE;PM2.5 air pollution, mean annual exposure (micrograms per cubic meter);23,61646317;;;;;21,11154765;;;;;26,12385523;25,19642763;24,60949201;26,32304126;28,0060253;30,3540129;;
Burundi;BDI;PM2.5 air pollution, mean annual exposure (micrograms per cubic meter);47,18177558;;;;;43,19245097;;;;;40,05271391;44,03095627;47,44958378;48,33502221;47,29057045;45,53410622;;
Belgium;BEL;PM2.5 air pollution, mean annual exposure (micrograms per cubic meter);16,86849124;;;;;16,2806338;;;;;16,31701575;16,30640191;15,8994561;15,90389158;15,78042979;15,63662972;;
Benin;BEN;PM2.5 air pollution, mean annual exposure (micrograms per cubic meter);59,00824259;;;;;46,02261113;;;;;42,70601546;45,80124941;45,33291833;41,49184403;38,37472292;35,16237337;;
Burkina Faso;BFA;PM2.5 air pollution, mean annual exposure (micrograms per cubic meter);66,61651305;;;;;59,00206017;;;;;60,87729241;62,6397117;54,89954122;49,39441139;44,14409051;40,03947692;;
Bangladesh;BGD;PM2.5 air pollution, mean annual exposure (micrograms per cubic meter);65,42196522;;;;;80,23563347;;;;;82,23194526;82,69560248;82,80494953;88,33041827;87,03455404;89,3929096;;
Bulgaria;BGR;PM2.5 air pollution, mean annual exposure (micrograms per cubic meter);29,14142037;;;;;23,1008418;;;;;26,83183332;26,96002866;25,68139714;26,71231101;27,53486186;28,12871472;;
Bahrain;BHR;PM2.5 air pollution, mean annual exposure (micrograms per cubic meter);62,46652544;;;;;52,606263;;;;;66,4277585;63,51717683;67,28495944;66,45263989;60,33412401;55,45435188;;
Bahamas, The;BHS;PM2.5 air pollution, mean annual exposure (micrograms per cubic meter);18,68255765;;;;;17,47408637;;;;;12,17654133;12,68075711;13,32897066;13,93955059;13,72387382;13,71948341;;
Bosnia and Herzegovina;BIH;PM2.5 air pollution, mean annual exposure (micrograms per cubic meter);37,95347469;;;;;35,38662978;;;;;37,97995323;37,4453139;37,98313099;41,42943982;44,09811958;47,40090583;;
Belarus;BLR;PM2.5 air pollution, mean annual exposure (micrograms per cubic meter);20,30815667;;;;;18,82530767;;;;;20,25431623;19,71399217;18,53081728;19,4702875;20,03426999;20,48379252;;
Belize;BLZ;PM2.5 air pollution, mean annual exposure (micrograms per cubic meter);29,43093726;;;;;25,78443453;;;;;20,97331669;21,69663025;25,35152963;24,3096465;25,45071189;27,04048536;;
Bermuda;BMU;PM2.5 air pollution, mean annual exposure (micrograms per cubic meter);11,18737813;;;;;11,44620163;;;;;9,312616101;9,356703975;9,362252941;9,068642195;8,865758137;8,689651024;;
Bolivia;BOL;PM2.5 air pollution, mean annual exposure (micrograms per cubic meter);30,21271633;;;;;39,77895753;;;;;28,5881597;30,24425324;26,95194066;27,79062261;28,35787923;27,97140377;;
Brazil;BRA;PM2.5 air pollution, mean annual exposure (micrograms per cubic meter);16,16227859;;;;;13,77506387;;;;;10,96493063;11,47776779;11,21118317;11,4422307;11,31754584;11,36829449;;
Barbados;BRB;PM2.5 air pollution, mean annual exposure (micrograms per cubic meter);20,35814543;;;;;17,33199887;;;;;14,79991173;14,88835039;14,84804989;15,25636697;15,20732479;15,38938638;;
Brunei Darussalam;BRN;PM2.5 air pollution, mean annual exposure (micrograms per cubic meter);5,70835931;;;;;7,37241961;;;;;6,364018923;6,234890364;6,252435079;6,170406831;5,690909112;5,147459106;;
Bhutan;BTN;PM2.5 air pollution, mean annual exposure (micrograms per cubic meter);41,0065705;;;;;50,72600627;;;;;50,00033869;48,63370044;49,86750313;54,37093357;54,13286886;55,72363212;;
Botswana;BWA;PM2.5 air pollution, mean annual exposure (micrograms per cubic meter);22,36437117;;;;;21,71438469;;;;;19,0399558;19,84321449;19,14675355;18,60238706;18,00413861;17,5393912;;
Central African Republic;CAF;PM2.5 air pollution, mean annual exposure (micrograms per cubic meter);52,25120777;;;;;51,47925568;;;;;46,16305324;49,96232939;52,43312592;49,33394234;47,78222565;46,46839936;;
Canada;CAN;PM2.5 air pollution, mean annual exposure (micrograms per cubic meter);7,824123321;;;;;8,114165;;;;;7,301525158;7,370857641;7,340954607;7,315529036;7,244536517;7,178847511;;
Central Europe and the Baltics;CEB;PM2.5 air pollution, mean annual exposure (micrograms per cubic meter);23,35711533;;;;;21,1949048;;;;;23,15057403;22,70266895;21,19697603;21,69674488;22,2069978;22,44857959;;
Switzerland;CHE;PM2.5 air pollution, mean annual exposure (micrograms per cubic meter);11,27034445;;;;;10,9720765;;;;;11,05498294;11,14726196;11,23406913;12,09228379;12,37209228;12,89019363;;
Channel Islands;CHI;PM2.5 air pollution, mean annual exposure (micrograms per cubic meter);;;;;;;;;;;;;;;;;;
Chile;CHL;PM2.5 air pollution, mean annual exposure (micrograms per cubic meter);21,94511284;;;;;22,86273012;;;;;21,31061466;21,37433716;21,53297271;21,16037872;21,08723658;20,94195715;;
China;CHN;PM2.5 air pollution, mean annual exposure (micrograms per cubic meter);51,63351915;;;;;56,89743587;;;;;58,22193143;57,16540288;57,38830359;56,86695663;57,98601356;58,37659937;;
Cote d'Ivoire;CIV;PM2.5 air pollution, mean annual exposure (micrograms per cubic meter);32,30402622;;;;;27,65451027;;;;;28,58998934;31,80904039;33,17098786;28,7908249;26,28596513;23,53443788;;
Cameroon;CMR;PM2.5 air pollution, mean annual exposure (micrograms per cubic meter);99,60771181;;;;;81,88294993;;;;;72,27810525;75,59233995;75,08883329;73,78419451;69,56991811;66,42837013;;
Congo, Dem. Rep.;COD;PM2.5 air pollution, mean annual exposure (micrograms per cubic meter);51,07883229;;;;;47,07936144;;;;;42,00486787;44,38807236;46,73556361;46,76494515;46,67313051;46,32237903;;
Congo, Rep.;COG;PM2.5 air pollution, mean annual exposure (micrograms per cubic meter);61,63371714;;;;;56,74243868;;;;;49,36093279;49,46126823;51,86184537;51,00605842;52,04968847;53,0089847;;
Colombia;COL;PM2.5 air pollution, mean annual exposure (micrograms per cubic meter);20,42475508;;;;;21,5222926;;;;;16,69620634;17,70750897;17,29658729;18,35243389;17,67549693;17,99813938;;
Comoros;COM;PM2.5 air pollution, mean annual exposure (micrograms per cubic meter);21,05216741;;;;;20,41033551;;;;;16,9011094;17,16901189;17,14686096;17,4211319;17,13627528;17,07934151;;
Cabo Verde;CPV;PM2.5 air pollution, mean annual exposure (micrograms per cubic meter);48,77078264;;;;;33,72043724;;;;;34,59727346;38,81934583;45,23148614;43,54296258;41,53790704;39,55602953;;
Costa Rica;CRI;PM2.5 air pollution, mean annual exposure (micrograms per cubic meter);22,0065383;;;;;20,68529224;;;;;14,47932299;15,28763779;16,48043342;18,56451064;18,4170098;20,11774831;;
Caribbean small states;CSS;PM2.5 air pollution, mean annual exposure (micrograms per cubic meter);21,69207821;;;;;18,38165608;;;;;13,98268546;14,72109382;15,71934923;16,68515673;16,54224849;16,65872933;;
Cuba;CUB;PM2.5 air pollution, mean annual exposure (micrograms per cubic meter);21,75224079;;;;;20,74618897;;;;;15,45960037;16,38933326;17,87777774;18,27609514;18,18831353;17,98569778;;
Curacao;CUW;PM2.5 air pollution, mean annual exposure (micrograms per cubic meter);;;;;;;;;;;;;;;;;;
Cayman Islands;CYM;PM2.5 air pollution, mean annual exposure (micrograms per cubic meter);;;;;;;;;;;;;;;;;;
Cyprus;CYP;PM2.5 air pollution, mean annual exposure (micrograms per cubic meter);15,19674804;;;;;14,5290099;;;;;15,41684785;15,21667356;15,10798901;16,29659663;17,20774014;18,28597332;;
Czech Republic;CZE;PM2.5 air pollution, mean annual exposure (micrograms per cubic meter);20,98845891;;;;;19,28864999;;;;;20,2037086;19,78423967;18,72233875;19,78966278;20,60073498;21,40898739;;
Germany;DEU;PM2.5 air pollution, mean annual exposure (micrograms per cubic meter);14,08379102;;;;;13,39368326;;;;;13,70378666;13,67429891;13,29681529;13,6595252;13,86261171;14,0153719;;
Djibouti;DJI;PM2.5 air pollution, mean annual exposure (micrograms per cubic meter);50,85019937;;;;;43,11745862;;;;;45,37519972;48,6359452;52,43290748;50,3417756;51,08017071;51,50224365;;
Dominica;DMA;PM2.5 air pollution, mean annual exposure (micrograms per cubic meter);17,95247109;;;;;16,70532169;;;;;14,1356331;14,42392113;14,00198025;14,24819121;13,71658417;13,55936883;;
Denmark;DNK;PM2.5 air pollution, mean annual exposure (micrograms per cubic meter);10,94668302;;;;;10,39023314;;;;;10,42452026;10,24883547;10,05436809;10,34987451;10,65521002;11,02259277;;
Dominican Republic;DOM;PM2.5 air pollution, mean annual exposure (micrograms per cubic meter);29,80004938;;;;;21,34326702;;;;;21,24604728;16,96673719;23,06495179;24,07007798;17,77525464;20,41796867;;
Algeria;DZA;PM2.5 air pollution, mean annual exposure (micrograms per cubic meter);32,34921606;;;;;28,49001271;;;;;26,74371557;27,50507143;28,26794675;31,10756086;33,09525;35,56453306;;
