Country Name;Country Code;Indicator Name;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017
East Asia & Pacific (excluding high income);EAP;PM2.5 air pollution, mean annual exposure (micrograms per cubic meter);43,01141817;;;;;46,91253178;;;;;46,64637393;45,93951081;46,15718318;46,02961118;46,73512641;47,08523683;;
Early-demographic dividend;EAR;PM2.5 air pollution, mean annual exposure (micrograms per cubic meter);49,5333235;;;;;51,31601862;;;;;51,01640095;50,97285906;52,14772503;53,9783413;55,01478078;56,47508994;;
East Asia & Pacific;EAS;PM2.5 air pollution, mean annual exposure (micrograms per cubic meter);39,98030681;;;;;43,5935823;;;;;43,30363277;42,62263035;43,12124132;42,82607182;43,77803982;44,15785668;;
Europe & Central Asia (excluding high income);ECA;PM2.5 air pollution, mean annual exposure (micrograms per cubic meter);22,28486555;;;;;20,17200759;;;;;23,21255004;22,7757556;22,27083686;23,12662444;24,02107662;24,80998372;;
Europe & Central Asia;ECS;PM2.5 air pollution, mean annual exposure (micrograms per cubic meter);18,17840561;;;;;16,75399603;;;;;18,25661179;17,98811697;17,59596098;18,24152125;18,82586395;19,37665103;;
Ecuador;ECU;PM2.5 air pollution, mean annual exposure (micrograms per cubic meter);17,95547565;;;;;19,4304039;;;;;14,26156132;16,53896222;15,9236179;15,9900108;13,84004408;12,84155358;;
Egypt, Arab Rep.;EGY;PM2.5 air pollution, mean annual exposure (micrograms per cubic meter);73,29447544;;;;;79,56297504;;;;;90,4582509;89,14891705;88,57841114;95,04821592;99,19876877;104,6666533;;
Euro area;EMU;PM2.5 air pollution, mean annual exposure (micrograms per cubic meter);13,56589592;;;;;12,92051788;;;;;13,04711786;12,94466534;12,82385955;13,39653275;13,76134224;14,2275445;;
Eritrea;ERI;PM2.5 air pollution, mean annual exposure (micrograms per cubic meter);43,55805505;;;;;38,54949375;;;;;42,00796735;43,41660755;45,59829566;43,84270296;43,81240103;43,49048059;;
Spain;ESP;PM2.5 air pollution, mean annual exposure (micrograms per cubic meter);10,06732195;;;;;9,947261956;;;;;9,691342999;9,740315952;9,772324484;9,759581679;9,751187601;9,738283342;;
Estonia;EST;PM2.5 air pollution, mean annual exposure (micrograms per cubic meter);8,065298029;;;;;8,007031131;;;;;8,205840132;7,881789587;7,1216599;8,187993959;8,70329887;9,404689495;;
Ethiopia;ETH;PM2.5 air pollution, mean annual exposure (micrograms per cubic meter);35,4848492;;;;;31,19806258;;;;;34,1193404;36,1146896;37,46941846;36,60738002;36,40572759;35,73814656;;
European Union;EUU;PM2.5 air pollution, mean annual exposure (micrograms per cubic meter);15,35677025;;;;;14,32135485;;;;;14,7183631;14,56100468;14,2093587;14,66242222;14,99614414;15,34084221;;
Fragile and conflict affected situations;FCS;PM2.5 air pollution, mean annual exposure (micrograms per cubic meter);44,17530296;;;;;41,46815496;;;;;44,02373787;44,95266615;45,66319924;44,1595899;42,81647318;41,690602;;
Finland;FIN;PM2.5 air pollution, mean annual exposure (micrograms per cubic meter);7,092406007;;;;;6,912545794;;;;;7,056500764;6,85124207;6,584123308;6,901412513;7,116471102;7,379235597;;
Fiji;FJI;PM2.5 air pollution, mean annual exposure (micrograms per cubic meter);8,833367028;;;;;9,481997387;;;;;6,879011374;6,74347482;7,059171837;7,618590682;7,249870664;7,870697243;;
France;FRA;PM2.5 air pollution, mean annual exposure (micrograms per cubic meter);12,60229344;;;;;12,26129727;;;;;12,23372128;12,20212495;12,25035112;12,29085529;12,32044895;12,36533737;;
Faroe Islands;FRO;PM2.5 air pollution, mean annual exposure (micrograms per cubic meter);;;;;;;;;;;;;;;;;;
Micronesia, Fed. Sts.;FSM;PM2.5 air pollution, mean annual exposure (micrograms per cubic meter);9,559811103;;;;;9,508991778;;;;;7,210864185;6,951472534;7,040499092;7,777837344;7,267154147;8,058593607;;
Gabon;GAB;PM2.5 air pollution, mean annual exposure (micrograms per cubic meter);41,80434931;;;;;34,92150088;;;;;34,87014621;36,30971917;36,69871355;36,73124941;39,13879174;39,86049558;;
